id,time,lng,lat,district,subway,price_per_square,total_price,year,month
BJCY87868716,2014-08-04,116.476467,39.888742,7,1.0,31224,186.0,2014,2014-08
101101354533,2017-05-20,116.47638,39.875691,7,0.0,75908,650.0,2017,2017-05
101100596025,2016-09-18,116.258944,39.934331,8,0.0,17315,180.0,2016,2016-09
101100590691,2017-01-04,116.43942,40.072066,6,0.0,36408,388.0,2017,2017-01
BJXC90015907,2015-08-31,116.378929,39.967071,10,0.0,78818,480.0,2015,2015-08
101100305054,2016-09-11,116.447756,39.896508,1,1.0,75091,640.0,2016,2016-09
101100376958,2016-08-05,116.353594,40.088104,6,0.0,43143,363.0,2016,2016-08
101102273877,2017-11-15,116.348521,39.930655,10,1.0,97440,609.0,2017,2017-11
101092144934,2016-07-04,116.343245,39.900529,10,1.0,105510,316.0,2016,2016-07
BJSY90717645,2015-11-07,116.636725,40.031531,13,0.0,19655,90.0,2015,2015-11
BJCP89206471,2015-04-23,116.265959,40.214499,6,0.0,22766,200.5,2015,2015-04
101101710282,2017-10-17,116.274641,39.888214,2,0.0,64723,588.0,2017,2017-10
101092192079,2016-06-29,116.509448,39.874885,7,1.0,50000,735.0,2016,2016-06
BJCY91322352,2016-01-16,116.512916,39.966511,7,0.0,39095,397.0,2016,2016-01
BJFS92206151,2016-05-21,116.154608,39.726495,5,1.0,22872,209.0,2016,2016-05
BJCP87717821,2014-06-15,116.328035,40.078668,6,1.0,28572,255.0,2014,2014-06
BJXC92201295,2016-05-21,116.372422,39.944412,10,1.0,91691,1056.0,2016,2016-05
101102415990,2017-12-24,116.555101,39.957393,7,0.0,42837,264.0,2017,2017-12
101101393227,2017-05-20,116.235582,39.88187,2,0.0,48189,333.8,2017,2017-05
101100278174,2016-07-19,116.195177,39.932325,9,0.0,35992,450.0,2016,2016-07
101101112973,2017-02-10,116.378761,39.995596,8,0.0,70371,570.0,2017,2017-02
101100892535,2016-12-19,116.467922,39.993105,7,0.0,62613,488.0,2016,2016-12
BJDX91704312,2016-03-30,116.450891,39.822298,4,0.0,35426,193.0,2016,2016-03
101101107343,2017-02-17,116.504397,39.92941,7,0.0,52466,450.0,2017,2017-02
101100587839,2017-02-22,116.494021,39.900148,7,1.0,104082,510.0,2017,2017-02
BJCY91062533,2016-04-07,116.470534,39.984906,7,0.0,45002,447.0,2016,2016-04
BJCY87362941,2014-09-10,116.400701,39.972998,7,1.0,41066,330.0,2014,2014-09
101101136577,2017-03-16,116.308663,39.839115,2,1.0,66719,680.0,2017,2017-03
BJCP89558159,2015-06-30,116.382471,40.08696,6,0.0,30515,188.0,2015,2015-06
BJCY88341447,2014-11-02,116.470317,39.95963,7,1.0,35537,207.5,2014,2014-11
BJCY85330477,2013-07-08,116.422099,40.050196,7,1.0,31077,185.0,2013,2013-07
BJCP89289916,2015-06-16,116.332651,40.072033,6,0.0,29302,195.0,2015,2015-06
101100275091,2016-07-12,116.351354,40.072433,6,1.0,38725,317.5,2016,2016-07
101092367117,2016-09-30,116.282889,39.942772,8,1.0,60219,320.0,2016,2016-09
BJCY91179663,2015-12-30,116.464891,39.964349,7,1.0,37506,501.0,2015,2015-12
BJFT89205212,2015-04-08,116.329679,39.887968,10,1.0,43656,257.0,2015,2015-04
101100749377,2016-10-31,116.433401,40.107867,6,0.0,44755,273.0,2016,2016-10
BJFT91375529,2016-03-01,116.444313,39.862824,2,1.0,28216,340.0,2016,2016-03
101100198077,2016-08-14,116.134792,39.743391,5,0.0,18160,118.0,2016,2016-08
101100445518,2016-08-28,116.245538,40.220033,6,0.0,34707,187.0,2016,2016-08
101101601692,2017-06-23,116.463539,39.987791,7,0.0,85471,560.0,2017,2017-06
101092292533,2016-07-08,116.486595,39.917578,7,1.0,64426,1060.0,2016,2016-07
BJCY88411341,2014-11-18,116.518451,39.92401,7,0.0,33833,477.0,2014,2014-11
BJSY89385390,2015-06-28,116.683699,40.11204,13,0.0,19878,165.0,2015,2015-06
BJFT90580225,2015-10-31,116.274641,39.888214,2,0.0,43149,392.0,2015,2015-10
101100343765,2016-08-10,116.450792,39.871858,7,1.0,43189,292.0,2016,2016-08
101100694828,2016-10-13,116.612342,39.935122,7,1.0,46137,406.0,2016,2016-10
BJHD88736892,2015-03-15,116.35154,39.954963,8,0.0,54908,452.0,2015,2015-03
101101328382,2017-06-30,116.48107,39.902277,7,1.0,98509,1380.0,2017,2017-06
101100725345,2016-11-06,116.4515,39.904606,1,1.0,81608,540.0,2016,2016-11
BJCP88355499,2014-11-29,116.34663,40.096608,6,1.0,29673,368.0,2014,2014-11
101101076479,2017-02-13,116.513063,39.937121,7,0.0,67024,432.5,2017,2017-02
101101522668,2017-06-28,116.415343,40.075533,6,1.0,43958,403.0,2017,2017-06
BJCY89351035,2015-05-05,116.51152,39.901436,7,1.0,32848,390.0,2015,2015-05
BJCY88107094,2014-09-18,116.4928,39.987295,7,1.0,30943,157.0,2014,2014-09
BJCY88341100,2014-10-09,116.386145,39.998849,7,0.0,42953,154.5,2014,2014-10
101102171131,2017-11-06,116.1939,39.923648,9,0.0,50000,258.5,2017,2017-11
101101848274,2017-07-30,116.475239,39.938541,7,1.0,71413,626.0,2017,2017-07
BJCY87129620,2014-06-15,116.483671,39.895896,7,1.0,40552,259.0,2014,2014-06
101100548270,2016-11-15,116.445751,39.903761,1,1.0,89424,930.0,2016,2016-11
101100545301,2016-09-21,116.469531,39.88522,7,1.0,52182,299.0,2016,2016-09
101100996471,2017-03-09,116.400105,39.869503,1,1.0,60453,524.0,2017,2017-03
BJXC91627498,2016-03-08,116.34688,39.912912,10,1.0,69925,465.0,2016,2016-03
BJFT89565506,2015-07-02,116.364028,39.870465,2,0.0,37898,250.5,2015,2015-07
BJCY91824148,2016-05-06,116.517555,39.872965,7,0.0,37873,198.0,2016,2016-05
101100905721,2016-12-12,116.438762,39.854215,2,1.0,50073,310.0,2016,2016-12
BJHD89980244,2015-08-29,116.220283,40.043636,8,0.0,30793,280.0,2015,2015-08
101100436641,2016-08-23,116.385168,39.900454,10,1.0,86477,1050.0,2016,2016-08
BJCY91659115,2016-03-09,116.501162,39.915382,7,1.0,49513,315.0,2016,2016-03
BJCP89280626,2016-01-02,116.363195,40.22522,6,0.0,14993,150.8,2016,2016-01
BJHD87194337,2014-03-08,116.297913,39.931622,8,1.0,50710,393.0,2014,2014-03
BJCY89785010,2015-09-14,116.425063,40.044097,7,1.0,26500,152.0,2015,2015-09
